split_seed,source,subject,seed,vel_mag,n_train,val_acc,test_acc,test_bci
0,real,S01,0,0.005,477,0.5825,0.5185,0.5093
0,real,S01,0,0.01,477,0.5825,0.5278,0.5093
0,real,S01,0,0.02,477,0.5922,0.5278,0.5093
0,real,S02,0,0.005,1112,0.6379,0.7358,0.7283
0,real,S02,0,0.01,1112,0.6502,0.7660,0.7283
0,real,S02,0,0.02,1112,0.6543,0.7736,0.7283
0,real,S04,0,0.005,456,0.7379,0.4882,0.5197
0,real,S04,0,0.01,456,0.7670,0.5118,0.5197
0,real,S04,0,0.02,456,0.7476,0.5591,0.5197
0,real,S05,0,0.005,1153,0.7252,0.6746,0.6716
0,real,S05,0,0.01,1153,0.7290,0.6806,0.6716
0,real,S05,0,0.02,1153,0.7214,0.6896,0.6716
0,real,S07,0,0.005,265,0.6212,0.4912,0.5000
0,real,S07,0,0.01,265,0.5909,0.5000,0.5000
0,real,S07,0,0.02,265,0.6212,0.5088,0.5000
1,real,S01,0,0.005,477,0.4660,0.5185,0.5093
1,real,S01,0,0.01,477,0.4660,0.5278,0.5093
1,real,S01,0,0.02,477,0.4563,0.5185,0.5093
1,real,S02,0,0.005,1112,0.5885,0.7358,0.7283
1,real,S02,0,0.01,1112,0.6008,0.7585,0.7283
1,real,S02,0,0.02,1112,0.6008,0.7736,0.7283
1,real,S04,0,0.005,456,0.6214,0.4961,0.5197
1,real,S04,0,0.01,456,0.6408,0.5276,0.5197
1,real,S04,0,0.02,456,0.6699,0.5512,0.5197
1,real,S05,0,0.005,1153,0.7099,0.6776,0.6716
2,real,S01,0,0.005,477,0.4466,0.5185,0.5093
2,real,S01,0,0.01,477,0.4563,0.5185,0.5093
2,real,S01,0,0.02,477,0.4660,0.5185,0.5093
2,real,S02,0,0.005,1112,0.6008,0.7396,0.7283
2,real,S02,0,0.01,1112,0.6173,0.7623,0.7283
2,real,S02,0,0.02,1112,0.6255,0.7698,0.7283
2,real,S04,0,0.005,456,0.7184,0.4882,0.5197
2,real,S04,0,0.01,456,0.7573,0.5118,0.5197
2,real,S04,0,0.02,456,0.7476,0.5512,0.5197
2,real,S05,0,0.005,1153,0.6260,0.6776,0.6716
2,real,S05,0,0.01,1153,0.6374,0.6836,0.6716
2,real,S05,0,0.02,1153,0.6336,0.6716,0.6716
2,real,S07,0,0.005,265,0.6818,0.4912,0.5000
2,real,S07,0,0.01,265,0.6970,0.5000,0.5000
2,real,S07,0,0.02,265,0.7273,0.5088,0.5000
3,real,S01,0,0.005,477,0.5049,0.5185,0.5093
3,real,S01,0,0.01,477,0.4854,0.5185,0.5093
3,real,S01,0,0.02,477,0.5340,0.5185,0.5093
3,real,S02,0,0.005,1112,0.6379,0.7396,0.7283
3,real,S02,0,0.01,1112,0.6502,0.7623,0.7283
3,real,S02,0,0.02,1112,0.6502,0.7774,0.7283
3,real,S04,0,0.005,456,0.6602,0.4882,0.5197
3,real,S04,0,0.01,456,0.6990,0.5118,0.5197
3,real,S04,0,0.02,456,0.7282,0.5591,0.5197
3,real,S05,0,0.005,1153,0.6450,0.6746,0.6716
3,real,S05,0,0.01,1153,0.6489,0.6866,0.6716
3,real,S05,0,0.02,1153,0.6603,0.6925,0.6716
3,real,S07,0,0.005,265,0.6061,0.4912,0.5000
3,real,S07,0,0.01,265,0.6061,0.5000,0.5000
3,real,S07,0,0.02,265,0.6212,0.5088,0.5000
4,real,S01,0,0.005,477,0.5631,0.5185,0.5093
4,real,S01,0,0.01,477,0.5631,0.5185,0.5093
4,real,S01,0,0.02,477,0.5922,0.5185,0.5093
4,real,S02,0,0.005,1112,0.6255,0.7358,0.7283
4,real,S02,0,0.01,1112,0.6337,0.7585,0.7283
4,real,S02,0,0.02,1112,0.6214,0.7698,0.7283
4,real,S04,0,0.005,456,0.7379,0.4882,0.5197
4,real,S04,0,0.01,456,0.7573,0.5197,0.5197
4,real,S04,0,0.02,456,0.7573,0.5433,0.5197
4,real,S05,0,0.005,1153,0.6985,0.6746,0.6716
4,real,S05,0,0.01,1153,0.7099,0.6836,0.6716
4,real,S05,0,0.02,1153,0.7176,0.6896,0.6716
4,real,S07,0,0.005,265,0.6364,0.4912,0.5000
4,real,S07,0,0.01,265,0.6364,0.5000,0.5000
4,real,S07,0,0.02,265,0.6667,0.5088,0.5000
0,sim,S01,0,0.005,1679,0.6019,0.5278,0.5093
0,sim,S01,0,0.01,1679,0.5922,0.5185,0.5093
0,sim,S01,0,0.02,1679,0.5728,0.4722,0.5093
0,sim,S02,0,0.005,1679,0.6173,0.7208,0.7283
0,sim,S02,0,0.01,1679,0.6091,0.7245,0.7283
0,sim,S02,0,0.02,1679,0.6091,0.6943,0.7283
0,sim,S04,0,0.005,1679,0.6990,0.5354,0.5197
0,sim,S04,0,0.01,1679,0.6699,0.5512,0.5197
0,sim,S04,0,0.02,1679,0.6893,0.5669,0.5197
0,sim,S05,0,0.005,1679,0.7099,0.6806,0.6716
0,sim,S05,0,0.01,1679,0.7023,0.6836,0.6716
0,sim,S05,0,0.02,1679,0.7023,0.6896,0.6716
0,sim,S07,0,0.005,1677,0.5909,0.4825,0.5000
0,sim,S07,0,0.01,1677,0.5606,0.4737,0.5000
0,sim,S07,0,0.02,1677,0.6061,0.4386,0.5000
1,sim,S01,0,0.005,1679,0.4854,0.5278,0.5093
1,sim,S01,0,0.01,1679,0.4951,0.5185,0.5093
1,sim,S01,0,0.02,1679,0.5049,0.4722,0.5093
1,sim,S02,0,0.005,1679,0.5761,0.7208,0.7283
1,sim,S02,0,0.01,1679,0.5844,0.7245,0.7283
1,sim,S02,0,0.02,1679,0.5597,0.6943,0.7283
1,sim,S04,0,0.005,1679,0.6019,0.5354,0.5197
1,sim,S04,0,0.01,1679,0.5534,0.5512,0.5197
1,sim,S04,0,0.02,1679,0.5728,0.5669,0.5197
1,sim,S05,0,0.005,1679,0.7099,0.6806,0.6716
1,sim,S05,0,0.01,1679,0.7137,0.6836,0.6716
1,sim,S05,0,0.02,1679,0.7137,0.6896,0.6716
2,sim,S01,0,0.005,1679,0.4466,0.5278,0.5093
2,sim,S01,0,0.01,1679,0.4757,0.5185,0.5093
2,sim,S01,0,0.02,1679,0.5146,0.4722,0.5093
2,sim,S02,0,0.005,1679,0.6049,0.7208,0.7283
