source,subject,seed,vel_mag,n_train,val_acc,test_acc,test_bci
real,S01,0,0.005,477,0.5825,0.5185,0.5093
real,S01,0,0.01,477,0.5825,0.5278,0.5093
real,S01,0,0.02,477,0.5922,0.5278,0.5093
real,S01,0,0.035,477,0.5922,0.5370,0.5093
real,S01,1,0.005,477,0.5825,0.5185,0.5093
real,S01,1,0.01,477,0.5825,0.5370,0.5093
real,S01,1,0.02,477,0.5825,0.4907,0.5093
real,S01,1,0.035,477,0.5728,0.5000,0.5093
real,S01,2,0.005,477,0.5825,0.5463,0.5093
real,S01,2,0.01,477,0.5825,0.5370,0.5093
real,S01,2,0.02,477,0.5728,0.5093,0.5093
real,S01,2,0.035,477,0.5728,0.4907,0.5093
real,S02,0,0.005,1112,0.6379,0.7358,0.7283
real,S02,0,0.01,1112,0.6502,0.7660,0.7283
real,S02,0,0.02,1112,0.6543,0.7736,0.7283
real,S02,0,0.035,1112,0.6749,0.7774,0.7283
real,S02,1,0.005,1112,0.6379,0.7358,0.7283
real,S02,1,0.01,1112,0.6461,0.7698,0.7283
real,S02,1,0.02,1112,0.6584,0.7811,0.7283
real,S02,1,0.035,1112,0.6667,0.7887,0.7283
real,S02,2,0.005,1112,0.6379,0.7396,0.7283
real,S02,2,0.01,1112,0.6420,0.7547,0.7283
real,S02,2,0.02,1112,0.6667,0.7698,0.7283
real,S02,2,0.035,1112,0.6831,0.7660,0.7283
real,S04,0,0.005,456,0.7379,0.4882,0.5197
real,S04,0,0.01,456,0.7670,0.5118,0.5197
real,S04,0,0.02,456,0.7476,0.5591,0.5197
real,S04,0,0.035,456,0.7670,0.4961,0.5197
real,S04,1,0.005,456,0.7379,0.4961,0.5197
real,S04,1,0.01,456,0.7767,0.5118,0.5197
real,S04,1,0.02,456,0.7476,0.5276,0.5197
real,S04,1,0.035,456,0.7573,0.5197,0.5197
real,S04,2,0.005,456,0.7282,0.5039,0.5197
real,S04,2,0.01,456,0.7573,0.5433,0.5197
real,S04,2,0.02,456,0.7282,0.5591,0.5197
real,S04,2,0.035,456,0.7379,0.5354,0.5197
real,S05,0,0.005,1153,0.7252,0.6746,0.6716
real,S05,0,0.01,1153,0.7290,0.6806,0.6716
real,S05,0,0.02,1153,0.7214,0.6896,0.6716
real,S05,0,0.035,1153,0.7176,0.6866,0.6716
real,S05,1,0.005,1153,0.7214,0.6716,0.6716
real,S05,1,0.01,1153,0.7252,0.6836,0.6716
real,S05,1,0.02,1153,0.7252,0.6836,0.6716
real,S05,1,0.035,1153,0.7061,0.6896,0.6716
real,S05,2,0.005,1153,0.7252,0.6806,0.6716
real,S05,2,0.01,1153,0.7214,0.6776,0.6716
real,S05,2,0.02,1153,0.7214,0.6657,0.6716
real,S05,2,0.035,1153,0.7061,0.6866,0.6716
real,S07,0,0.005,265,0.6212,0.4912,0.5000
real,S07,0,0.01,265,0.5909,0.5000,0.5000
real,S07,0,0.02,265,0.6212,0.5088,0.5000
real,S07,0,0.035,265,0.5909,0.5614,0.5000
real,S07,1,0.005,265,0.6212,0.4825,0.5000
real,S07,1,0.01,265,0.5758,0.4825,0.5000
real,S07,1,0.02,265,0.5758,0.4912,0.5000
real,S07,1,0.035,265,0.5909,0.5000,0.5000
real,S07,2,0.005,265,0.6212,0.4912,0.5000
real,S07,2,0.01,265,0.5909,0.5000,0.5000
real,S07,2,0.02,265,0.6212,0.5088,0.5000
real,S07,2,0.035,265,0.5909,0.5614,0.5000
sim,S01,0,0.005,1679,0.6019,0.5278,0.5093
sim,S01,0,0.01,1679,0.5922,0.5185,0.5093
sim,S01,0,0.02,1679,0.5728,0.4722,0.5093
sim,S01,0,0.035,1679,0.6019,0.4630,0.5093
sim,S01,1,0.005,1679,0.5825,0.5278,0.5093
sim,S01,1,0.01,1679,0.5825,0.5185,0.5093
sim,S01,1,0.02,1679,0.5631,0.4722,0.5093
sim,S01,1,0.035,1679,0.5922,0.4722,0.5093
sim,S01,2,0.005,1679,0.5825,0.5278,0.5093
sim,S01,2,0.01,1679,0.5825,0.5278,0.5093
sim,S01,2,0.02,1679,0.5631,0.4722,0.5093
sim,S01,2,0.035,1679,0.5825,0.4630,0.5093
sim,S04,0,0.005,1679,0.6990,0.5354,0.5197
sim,S04,0,0.01,1679,0.6699,0.5512,0.5197
sim,S04,0,0.02,1679,0.6893,0.5669,0.5197
sim,S04,0,0.035,1679,0.6602,0.5512,0.5197
sim,S04,1,0.005,1679,0.7184,0.5354,0.5197
sim,S04,1,0.01,1679,0.7087,0.5512,0.5197
sim,S04,1,0.02,1679,0.6990,0.5669,0.5197
sim,S04,1,0.035,1679,0.6893,0.5748,0.5197
sim,S04,2,0.005,1679,0.7184,0.5276,0.5197
sim,S04,2,0.01,1679,0.6990,0.5354,0.5197
sim,S04,2,0.02,1679,0.6990,0.5669,0.5197
sim,S04,2,0.035,1679,0.6893,0.5591,0.5197
sim,S07,0,0.005,1677,0.5909,0.4825,0.5000
sim,S07,0,0.01,1677,0.5606,0.4737,0.5000
sim,S07,0,0.02,1677,0.6061,0.4386,0.5000
sim,S07,0,0.035,1677,0.5606,0.4737,0.5000
sim,S07,1,0.005,1677,0.5606,0.4825,0.5000
sim,S07,1,0.01,1677,0.5606,0.4737,0.5000
sim,S07,1,0.02,1677,0.5303,0.4649,0.5000
sim,S07,1,0.035,1677,0.4848,0.4825,0.5000
sim,S07,2,0.005,1677,0.6212,0.4825,0.5000
sim,S07,2,0.01,1677,0.6212,0.4737,0.5000
sim,S07,2,0.02,1677,0.5758,0.4561,0.5000
sim,S07,2,0.035,1677,0.5758,0.4649,0.5000
sim,S02,0,0.005,1679,0.6173,0.7208,0.7283
sim,S02,0,0.01,1679,0.6091,0.7245,0.7283
sim,S02,0,0.02,1679,0.6091,0.6943,0.7283
sim,S02,0,0.035,1679,0.5885,0.6792,0.7283
sim,S02,1,0.005,1679,0.6214,0.7208,0.7283
sim,S02,1,0.01,1679,0.6173,0.7208,0.7283
sim,S02,1,0.02,1679,0.6091,0.6830,0.7283
sim,S02,1,0.035,1679,0.5638,0.6642,0.7283
sim,S02,2,0.005,1679,0.6255,0.7208,0.7283
sim,S02,2,0.01,1679,0.6132,0.7208,0.7283
sim,S02,2,0.02,1679,0.6008,0.6868,0.7283
sim,S02,2,0.035,1679,0.5802,0.6679,0.7283
sim,S05,0,0.005,1679,0.7099,0.6806,0.6716
sim,S05,0,0.01,1679,0.7023,0.6836,0.6716
sim,S05,0,0.02,1679,0.7023,0.6896,0.6716
sim,S05,0,0.035,1679,0.6832,0.6955,0.6716
sim,S05,1,0.005,1679,0.7176,0.6836,0.6716
sim,S05,1,0.01,1679,0.7214,0.6716,0.6716
sim,S05,1,0.02,1679,0.7099,0.6776,0.6716
sim,S05,1,0.035,1679,0.6794,0.6657,0.6716
sim,S05,2,0.005,1679,0.7176,0.6836,0.6716
sim,S05,2,0.01,1679,0.7176,0.6866,0.6716
sim,S05,2,0.02,1679,0.7137,0.6896,0.6716
sim,S05,2,0.035,1679,0.6832,0.6925,0.6716
surrogate,S01,0,0.005,1600,0.5825,0.5000,0.5093
surrogate,S01,0,0.01,1600,0.5340,0.4537,0.5093
surrogate,S01,0,0.02,1600,0.4854,0.4167,0.5093
surrogate,S01,0,0.035,1600,0.4272,0.4352,0.5093
surrogate,S01,1,0.005,1600,0.5825,0.5463,0.5093
surrogate,S01,1,0.01,1600,0.5728,0.4907,0.5093
surrogate,S01,1,0.02,1600,0.5340,0.4722,0.5093
surrogate,S01,1,0.035,1600,0.4563,0.4352,0.5093
surrogate,S01,2,0.005,1600,0.5825,0.5000,0.5093
surrogate,S01,2,0.01,1600,0.5631,0.4722,0.5093
surrogate,S01,2,0.02,1600,0.4951,0.4352,0.5093
surrogate,S01,2,0.035,1600,0.4466,0.4722,0.5093
surrogate,S04,0,0.005,1600,0.7476,0.4724,0.5197
surrogate,S04,0,0.01,1600,0.6796,0.4409,0.5197
surrogate,S04,0,0.02,1600,0.6214,0.4094,0.5197
surrogate,S04,0,0.035,1600,0.4466,0.2913,0.5197
surrogate,S04,1,0.005,1600,0.7282,0.5118,0.5197
surrogate,S04,1,0.01,1600,0.7087,0.5669,0.5197
surrogate,S04,1,0.02,1600,0.7184,0.5276,0.5197
surrogate,S04,1,0.035,1600,0.6699,0.4567,0.5197
surrogate,S04,2,0.005,1600,0.7476,0.4724,0.5197
surrogate,S04,2,0.01,1600,0.7184,0.4488,0.5197
surrogate,S04,2,0.02,1600,0.7087,0.4016,0.5197
surrogate,S04,2,0.035,1600,0.5825,0.2756,0.5197
surrogate,S07,0,0.005,1600,0.6061,0.5088,0.5000
surrogate,S07,0,0.01,1600,0.6212,0.5000,0.5000
surrogate,S07,0,0.02,1600,0.5909,0.4737,0.5000
surrogate,S07,0,0.035,1600,0.5606,0.5175,0.5000
surrogate,S07,1,0.005,1600,0.5909,0.5000,0.5000
