subject_id,session_number,run_number,trial_number,inner_trial_number,timestamp_seconds,cursor_pos_x,cursor_pos_y,target_label,target_pos_x,target_pos_y,arm_prediction_label
S02,5,1,1,1,0.0,0,0,3,432.0,0.0,0
S02,5,1,1,1,0.125,0,0,3,432.0,0.0,0
S02,5,1,1,1,0.25,0,0,3,432.0,0.0,0
S02,5,1,1,1,0.375,0,0,3,432.0,0.0,0
S02,5,1,1,1,0.5,0,0,3,432.0,0.0,0
S02,5,1,1,1,0.625,9,-28,3,432.0,0.0,5
S02,5,1,1,1,0.75,27,-48,3,432.0,0.0,4
S02,5,1,1,1,0.875,42,-66,3,432.0,0.0,4
S02,5,1,1,1,1.0,65,-85,3,432.0,0.0,4
S02,5,1,1,1,1.125,106,-119,3,432.0,0.0,4
S02,5,1,1,1,1.25,132,-125,3,432.0,0.0,4
S02,5,1,1,1,1.375,164,-130,3,432.0,0.0,4
S02,5,1,1,1,1.5,191,-132,3,432.0,0.0,4
S02,5,1,1,1,1.625,221,-134,3,432.0,0.0,4
S02,5,1,1,2,0.0,0,0,6,-305.4701294725885,-305.4701294725885,0
S02,5,1,1,2,0.125,0,0,6,-305.4701294725885,-305.4701294725885,0
S02,5,1,1,2,0.25,0,0,6,-305.4701294725885,-305.4701294725885,0
S02,5,1,1,2,0.375,0,0,6,-305.4701294725885,-305.4701294725885,0
S02,5,1,1,2,0.5,0,0,6,-305.4701294725885,-305.4701294725885,0
S02,5,1,1,2,0.625,-14,-26,6,-305.4701294725885,-305.4701294725885,6
S02,5,1,1,2,0.75,-22,-48,6,-305.4701294725885,-305.4701294725885,6
S02,5,1,1,2,0.875,-32,-71,6,-305.4701294725885,-305.4701294725885,6
S02,5,1,1,2,1.0,-59,-107,6,-305.4701294725885,-305.4701294725885,6
S02,5,1,1,2,1.125,-65,-127,6,-305.4701294725885,-305.4701294725885,6
S02,5,1,1,2,1.25,-66,-149,6,-305.4701294725885,-305.4701294725885,6
S02,5,1,1,2,1.375,-56,-177,6,-305.4701294725885,-305.4701294725885,5
S02,5,1,1,2,1.5,-44,-196,6,-305.4701294725885,-305.4701294725885,5
S02,5,1,1,3,0.0,0,0,4,305.4701294725885,-305.4701294725885,0
S02,5,1,1,3,0.125,0,0,4,305.4701294725885,-305.4701294725885,0
S02,5,1,1,3,0.25,0,0,4,305.4701294725885,-305.4701294725885,0
S02,5,1,1,3,0.375,0,0,4,305.4701294725885,-305.4701294725885,0
S02,5,1,1,3,0.5,0,0,4,305.4701294725885,-305.4701294725885,0
S02,5,1,1,3,0.625,27,-6,4,305.4701294725885,-305.4701294725885,3
S02,5,1,1,3,0.75,59,-21,4,305.4701294725885,-305.4701294725885,3
S02,5,1,1,3,0.875,83,-29,4,305.4701294725885,-305.4701294725885,3
S02,5,1,1,3,1.0,98,-44,4,305.4701294725885,-305.4701294725885,4
S02,5,1,1,3,1.125,122,-78,4,305.4701294725885,-305.4701294725885,4
S02,5,1,1,3,1.25,138,-91,4,305.4701294725885,-305.4701294725885,4
S02,5,1,1,3,1.375,149,-104,4,305.4701294725885,-305.4701294725885,4
S02,5,1,1,3,1.5,171,-125,4,305.4701294725885,-305.4701294725885,4
S02,5,1,1,3,1.625,190,-140,4,305.4701294725885,-305.4701294725885,4
S02,5,1,1,4,0.0,0,0,1,0.0,432.0,0
S02,5,1,1,4,0.125,0,0,1,0.0,432.0,0
S02,5,1,1,4,0.25,0,0,1,0.0,432.0,0
S02,5,1,1,4,0.375,0,0,1,0.0,432.0,0
S02,5,1,1,4,0.5,0,0,1,0.0,432.0,0
S02,5,1,1,4,0.625,-2,23,1,0.0,432.0,1
S02,5,1,1,4,0.75,-5,56,1,0.0,432.0,1
S02,5,1,1,4,0.875,-8,105,1,0.0,432.0,1
S02,5,1,1,4,1.0,-13,131,1,0.0,432.0,1
S02,5,1,1,4,1.125,-14,170,1,0.0,432.0,1
S02,5,1,1,4,1.25,-18,207,1,0.0,432.0,1
S02,5,1,1,4,1.375,-22,232,1,0.0,432.0,1
S02,5,1,1,4,1.5,-23,255,1,0.0,432.0,1
S02,5,1,1,5,0.0,0,0,2,305.4701294725885,305.4701294725885,0
S02,5,1,1,5,0.125,0,0,2,305.4701294725885,305.4701294725885,0
S02,5,1,1,5,0.25,0,0,2,305.4701294725885,305.4701294725885,0
S02,5,1,1,5,0.375,0,0,2,305.4701294725885,305.4701294725885,0
S02,5,1,1,5,0.5,0,0,2,305.4701294725885,305.4701294725885,0
S02,5,1,1,5,0.625,30,-1,2,305.4701294725885,305.4701294725885,3
S02,5,1,1,5,0.75,56,2,2,305.4701294725885,305.4701294725885,3
S02,5,1,1,5,0.875,75,12,2,305.4701294725885,305.4701294725885,3
S02,5,1,1,5,1.0,89,33,2,305.4701294725885,305.4701294725885,3
S02,5,1,1,5,1.125,124,64,2,305.4701294725885,305.4701294725885,2
S02,5,1,1,5,1.25,150,80,2,305.4701294725885,305.4701294725885,2
S02,5,1,1,5,1.375,186,94,2,305.4701294725885,305.4701294725885,2
S02,5,1,1,5,1.5,208,105,2,305.4701294725885,305.4701294725885,2
S02,5,1,1,6,0.0,0,0,2,305.4701294725885,305.4701294725885,0
S02,5,1,1,6,0.125,0,0,2,305.4701294725885,305.4701294725885,0
S02,5,1,1,6,0.25,0,0,2,305.4701294725885,305.4701294725885,0
S02,5,1,1,6,0.375,0,0,2,305.4701294725885,305.4701294725885,0
S02,5,1,1,6,0.5,0,0,2,305.4701294725885,305.4701294725885,0
S02,5,1,1,6,0.625,1,3,2,305.4701294725885,305.4701294725885,1
S02,5,1,1,6,0.75,6,17,2,305.4701294725885,305.4701294725885,1
S02,5,1,1,6,0.875,25,39,2,305.4701294725885,305.4701294725885,2
S02,5,1,1,6,1.0,32,66,2,305.4701294725885,305.4701294725885,2
S02,5,1,1,6,1.125,46,107,2,305.4701294725885,305.4701294725885,2
S02,5,1,1,6,1.25,54,138,2,305.4701294725885,305.4701294725885,1
S02,5,1,1,6,1.375,58,173,2,305.4701294725885,305.4701294725885,1
S02,5,1,1,6,1.5,67,203,2,305.4701294725885,305.4701294725885,1
S02,5,1,1,7,0.0,0,0,5,0.0,-432.0,0
S02,5,1,1,7,0.125,0,0,5,0.0,-432.0,0
S02,5,1,1,7,0.25,0,0,5,0.0,-432.0,0
S02,5,1,1,7,0.375,0,0,5,0.0,-432.0,0
S02,5,1,1,7,0.5,0,0,5,0.0,-432.0,0
S02,5,1,1,7,0.625,4,-38,5,0.0,-432.0,5
S02,5,1,1,7,0.75,9,-66,5,0.0,-432.0,5
S02,5,1,1,7,0.875,10,-106,5,0.0,-432.0,5
S02,5,1,1,7,1.0,10,-156,5,0.0,-432.0,5
S02,5,1,1,7,1.125,12,-207,5,0.0,-432.0,5
S02,5,1,1,7,1.25,15,-237,5,0.0,-432.0,5
S02,5,1,1,7,1.375,22,-276,5,0.0,-432.0,5
S02,5,1,1,7,1.5,27,-302,5,0.0,-432.0,5
S02,5,1,1,8,0.0,0,0,7,-432.0,0.0,0
S02,5,1,1,8,0.125,0,0,7,-432.0,0.0,0
S02,5,1,1,8,0.25,0,0,7,-432.0,0.0,0
S02,5,1,1,8,0.375,0,0,7,-432.0,0.0,0
S02,5,1,1,8,0.5,-23,-5,7,-432.0,0.0,7
S02,5,1,1,8,0.625,-55,-1,7,-432.0,0.0,7
S02,5,1,1,8,0.75,-91,2,7,-432.0,0.0,7
S02,5,1,1,8,0.875,-122,4,7,-432.0,0.0,7
S02,5,1,1,8,1.0,-171,2,7,-432.0,0.0,7
S02,5,1,1,8,1.125,-194,-4,7,-432.0,0.0,7
S02,5,1,1,8,1.25,-230,-7,7,-432.0,0.0,7
S02,5,1,1,8,1.375,-264,-9,7,-432.0,0.0,7
S02,5,1,1,8,1.5,-283,-14,7,-432.0,0.0,7
S02,5,1,1,9,0.0,0,0,6,-305.4701294725885,-305.4701294725885,0
S02,5,1,1,9,0.125,0,0,6,-305.4701294725885,-305.4701294725885,0
S02,5,1,1,9,0.25,0,0,6,-305.4701294725885,-305.4701294725885,0
S02,5,1,1,9,0.375,0,0,6,-305.4701294725885,-305.4701294725885,0
S02,5,1,1,9,0.5,20,-22,6,-305.4701294725885,-305.4701294725885,4
S02,5,1,1,9,0.625,27,-48,6,-305.4701294725885,-305.4701294725885,4
S02,5,1,1,9,0.75,30,-84,6,-305.4701294725885,-305.4701294725885,5
S02,5,1,1,9,0.875,23,-117,6,-305.4701294725885,-305.4701294725885,5
S02,5,1,1,9,1.0,10,-145,6,-305.4701294725885,-305.4701294725885,5
S02,5,1,1,9,1.125,-17,-158,6,-305.4701294725885,-305.4701294725885,5
S02,5,1,1,9,1.25,-40,-175,6,-305.4701294725885,-305.4701294725885,5
S02,5,1,1,9,1.375,-64,-188,6,-305.4701294725885,-305.4701294725885,5
