subject_id,session_number,run_number,trial_number,inner_trial_number,timestamp_seconds,cursor_pos_x,cursor_pos_y,target_label,target_pos_x,target_pos_y,arm_prediction_label
S04,2,1,1,1,0.0,0,0,6,-305.4701294725885,-305.4701294725885,0
S04,2,1,1,1,0.125,0,0,6,-305.4701294725885,-305.4701294725885,0
S04,2,1,1,1,0.25,0,0,6,-305.4701294725885,-305.4701294725885,0
S04,2,1,1,1,0.375,0,0,6,-305.4701294725885,-305.4701294725885,0
S04,2,1,1,1,0.5,0,0,6,-305.4701294725885,-305.4701294725885,0
S04,2,1,1,1,0.625,0,0,6,-305.4701294725885,-305.4701294725885,0
S04,2,1,1,1,0.75,0,0,6,-305.4701294725885,-305.4701294725885,0
S04,2,1,1,1,0.875,0,0,6,-305.4701294725885,-305.4701294725885,0
S04,2,1,1,1,1.0,0,0,6,-305.4701294725885,-305.4701294725885,0
S04,2,1,1,1,1.125,-21,-17,6,-305.4701294725885,-305.4701294725885,6
S04,2,1,1,1,1.25,-31,-29,6,-305.4701294725885,-305.4701294725885,6
S04,2,1,1,1,1.375,-38,-40,6,-305.4701294725885,-305.4701294725885,6
S04,2,1,1,1,1.5,-44,-53,6,-305.4701294725885,-305.4701294725885,6
S04,2,1,1,1,1.625,-51,-71,6,-305.4701294725885,-305.4701294725885,6
S04,2,1,1,1,1.75,-61,-106,6,-305.4701294725885,-305.4701294725885,6
S04,2,1,1,1,1.875,-64,-128,6,-305.4701294725885,-305.4701294725885,6
S04,2,1,1,1,2.0,-66,-138,6,-305.4701294725885,-305.4701294725885,6
S04,2,1,1,2,0.0,0,0,4,305.4701294725885,-305.4701294725885,0
S04,2,1,1,2,0.125,0,0,4,305.4701294725885,-305.4701294725885,0
S04,2,1,1,2,0.25,0,0,4,305.4701294725885,-305.4701294725885,0
S04,2,1,1,2,0.375,0,0,4,305.4701294725885,-305.4701294725885,0
S04,2,1,1,2,0.5,0,0,4,305.4701294725885,-305.4701294725885,0
S04,2,1,1,2,0.625,0,0,4,305.4701294725885,-305.4701294725885,0
S04,2,1,1,2,0.75,0,0,4,305.4701294725885,-305.4701294725885,0
S04,2,1,1,2,0.875,0,0,4,305.4701294725885,-305.4701294725885,0
S04,2,1,1,2,1.0,0,0,4,305.4701294725885,-305.4701294725885,0
