subject_id,session_number,run_number,trial_number,inner_trial_number,timestamp_seconds,cursor_pos_x,cursor_pos_y,target_label,target_pos_x,target_pos_y,arm_prediction_label
S07,0,1,1,1,0.0,0,0,7,-432.0,0.0,0
S07,0,1,1,1,0.125,0,0,7,-432.0,0.0,0
S07,0,1,1,1,0.25,0,0,7,-432.0,0.0,0
S07,0,1,1,1,0.375,0,0,7,-432.0,0.0,0
S07,0,1,1,1,0.5,-38,-10,7,-432.0,0.0,7
S07,0,1,1,1,0.625,-72,-22,7,-432.0,0.0,7
S07,0,1,1,1,0.75,-108,-30,7,-432.0,0.0,7
S07,0,1,1,1,0.875,-133,-67,7,-432.0,0.0,6
S07,0,1,1,1,1.0,-124,-89,7,-432.0,0.0,6
S07,0,1,1,1,1.125,-119,-106,7,-432.0,0.0,6
S07,0,1,1,1,1.25,-106,-124,7,-432.0,0.0,6
S07,0,1,1,1,1.375,-104,-121,7,-432.0,0.0,6
S07,0,1,1,1,1.5,-128,-114,7,-432.0,0.0,6
S07,0,1,1,1,1.625,-137,-111,7,-432.0,0.0,6
S07,0,1,1,2,0.0,0,0,2,305.4701294725885,305.4701294725885,0
S07,0,1,1,2,0.125,0,0,2,305.4701294725885,305.4701294725885,0
S07,0,1,1,2,0.25,0,0,2,305.4701294725885,305.4701294725885,0
S07,0,1,1,2,0.375,0,0,2,305.4701294725885,305.4701294725885,0
S07,0,1,1,2,0.5,25,9,2,305.4701294725885,305.4701294725885,3
S07,0,1,1,2,0.625,35,25,2,305.4701294725885,305.4701294725885,2
S07,0,1,1,2,0.75,50,57,2,305.4701294725885,305.4701294725885,2
S07,0,1,1,2,0.875,57,75,2,305.4701294725885,305.4701294725885,2
S07,0,1,1,2,1.0,44,89,2,305.4701294725885,305.4701294725885,2
S07,0,1,1,2,1.125,25,102,2,305.4701294725885,305.4701294725885,1
S07,0,1,1,2,1.25,2,156,2,305.4701294725885,305.4701294725885,1
S07,0,1,1,2,1.375,-1,190,2,305.4701294725885,305.4701294725885,1
S07,0,1,1,2,1.5,-4,220,2,305.4701294725885,305.4701294725885,1
S07,0,1,1,3,0.0,0,0,1,0.0,432.0,0
S07,0,1,1,3,0.125,0,0,1,0.0,432.0,0
S07,0,1,1,3,0.25,0,0,1,0.0,432.0,0
S07,0,1,1,3,0.375,0,0,1,0.0,432.0,0
S07,0,1,1,3,0.5,-5,23,1,0.0,432.0,1
S07,0,1,1,3,0.625,-27,69,1,0.0,432.0,1
S07,0,1,1,3,0.75,-42,99,1,0.0,432.0,0
S07,0,1,1,3,0.875,-59,127,1,0.0,432.0,0
S07,0,1,1,3,1.0,-64,139,1,0.0,432.0,0
S07,0,1,1,3,1.125,-50,151,1,0.0,432.0,1
S07,0,1,1,3,1.25,-39,189,1,0.0,432.0,1
S07,0,1,1,3,1.375,-32,220,1,0.0,432.0,1
S07,0,1,1,3,1.5,-22,257,1,0.0,432.0,1
S07,0,1,1,4,0.0,0,0,4,305.4701294725885,-305.4701294725885,0
S07,0,1,1,4,0.125,0,0,4,305.4701294725885,-305.4701294725885,0
S07,0,1,1,4,0.25,0,0,4,305.4701294725885,-305.4701294725885,0
S07,0,1,1,4,0.375,0,0,4,305.4701294725885,-305.4701294725885,0
S07,0,1,1,4,0.5,37,-5,4,305.4701294725885,-305.4701294725885,3
S07,0,1,1,4,0.625,89,-26,4,305.4701294725885,-305.4701294725885,3
S07,0,1,1,4,0.75,122,-31,4,305.4701294725885,-305.4701294725885,3
S07,0,1,1,4,0.875,132,-46,4,305.4701294725885,-305.4701294725885,3
S07,0,1,1,4,1.0,120,-55,4,305.4701294725885,-305.4701294725885,4
S07,0,1,1,4,1.125,113,-68,4,305.4701294725885,-305.4701294725885,4
S07,0,1,1,4,1.25,112,-99,4,305.4701294725885,-305.4701294725885,4
S07,0,1,1,4,1.375,115,-102,4,305.4701294725885,-305.4701294725885,4
