epoch,phase,train_loss,test_acc,bci_baseline,delta_pp,time_s,NW,N,NE,E,SE,S,SW,W
1,1,1.813985,40.86,40.92,-0.06,4.5,45.0,38.8,36.9,41.2,49.0,33.6,36.0,46.4
2,1,1.470773,41.01,40.92,0.09,4.5,45.5,37.9,34.5,37.9,52.6,35.5,36.2,48.1
3,1,1.446299,40.80,40.92,-0.12,4.4,45.2,37.6,37.1,41.0,50.5,31.0,35.0,49.0
4,2,1.426782,40.51,40.92,-0.42,13.2,46.0,40.5,35.5,38.3,51.0,32.1,35.0,45.7
5,2,1.420920,41.10,40.92,0.18,13.6,45.2,40.2,36.2,41.9,49.5,33.3,34.3,48.1
6,2,1.407387,41.52,40.92,0.60,13.2,43.1,42.6,36.7,41.7,49.3,34.0,35.0,49.8
7,2,1.392853,40.92,40.92,0.00,13.4,46.2,39.3,36.9,39.5,50.7,33.8,36.2,44.8
8,2,1.390188,41.10,40.92,0.18,13.4,43.6,41.2,34.8,40.0,51.2,33.8,35.5,48.8
9,2,1.385206,41.25,40.92,0.33,14.2,44.8,41.0,36.7,41.0,50.2,32.1,34.8,49.5
10,2,1.380845,41.61,40.92,0.68,14.2,45.5,39.0,37.6,41.2,49.8,35.0,35.0,49.8
11,2,1.376691,41.88,40.92,0.95,13.6,46.2,40.7,39.8,42.1,49.0,34.0,35.5,47.6
12,2,1.376635,41.70,40.92,0.77,14.3,46.0,38.6,38.1,41.4,49.3,35.5,35.7,49.0
13,2,1.369275,41.70,40.92,0.77,13.3,46.0,39.5,37.9,40.7,49.5,35.2,35.5,49.3
14,2,1.365828,41.70,40.92,0.77,13.2,46.2,38.8,38.3,41.0,50.2,34.8,36.0,48.3
15,2,1.365797,41.96,40.92,1.04,13.3,45.7,39.8,37.1,42.6,50.0,34.8,35.2,50.5
16,2,1.362599,41.76,40.92,0.83,13.8,45.7,39.8,37.9,41.7,49.3,34.8,34.8,50.2
17,2,1.362240,41.55,40.92,0.63,13.5,46.0,39.5,38.3,40.7,48.8,35.2,35.0,48.8
18,2,1.362421,41.96,40.92,1.04,13.7,45.2,41.2,37.6,41.7,50.0,34.8,35.7,49.5
19,2,1.358054,41.82,40.92,0.89,13.6,46.0,40.2,38.1,41.9,50.0,34.0,34.5,49.8
20,2,1.356860,41.85,40.92,0.92,13.7,45.5,39.3,38.3,41.9,49.0,35.7,35.7,49.3
21,2,1.356406,41.90,40.92,0.98,13.8,45.7,40.2,38.3,42.1,49.5,35.0,34.8,49.5
22,2,1.354948,41.93,40.92,1.01,13.4,45.5,40.5,38.1,42.1,48.8,35.5,35.0,50.0
23,2,1.355922,41.90,40.92,0.98,13.2,45.7,39.8,38.6,41.7,49.3,35.0,34.8,50.5
24,2,1.353779,41.93,40.92,1.01,13.2,44.8,40.5,39.0,41.2,49.3,35.2,35.7,49.8
25,2,1.354273,42.08,40.92,1.16,13.1,45.7,40.5,38.3,41.9,49.3,35.2,35.5,50.2
26,2,1.352861,42.02,40.92,1.10,13.2,45.7,40.0,38.6,41.9,50.2,35.0,35.0,49.8
27,2,1.353146,41.96,40.92,1.04,13.2,46.0,40.0,38.8,41.9,49.8,34.8,35.0,49.5
28,2,1.353263,42.08,40.92,1.16,14.8,45.7,40.2,38.3,41.9,49.3,35.7,35.5,50.0
