source,vel_mag,seed,bci,copilot,delta_pp
sim,0.02,0,62.52,61.65,-0.87
sim,0.02,1,62.52,60.88,-1.64
sim,0.02,2,62.52,62.07,-0.44
sim,0.035,0,62.52,59.70,-2.81
sim,0.035,1,62.52,59.22,-3.30
sim,0.035,2,62.52,59.63,-2.89
sim,0.05,0,62.52,57.53,-4.99
sim,0.05,1,62.52,57.33,-5.18
sim,0.05,2,62.52,56.50,-6.01
sim,inv_ticks,0,62.52,56.54,-5.97
sim,inv_ticks,1,62.52,55.96,-6.55
sim,inv_ticks,2,62.52,54.79,-7.73
surrogate,0.02,0,62.52,61.77,-0.75
surrogate,0.02,1,62.52,63.21,0.69
surrogate,0.02,2,62.52,62.46,-0.06
surrogate,0.035,0,62.52,61.23,-1.29
surrogate,0.035,1,62.52,62.17,-0.35
surrogate,0.035,2,62.52,59.97,-2.54
surrogate,0.05,0,62.52,55.41,-7.11
surrogate,0.05,1,62.52,60.07,-2.45
surrogate,0.05,2,62.52,56.72,-5.80
surrogate,inv_ticks,0,62.52,56.00,-6.51
surrogate,inv_ticks,1,62.52,56.66,-5.86
surrogate,inv_ticks,2,62.52,57.29,-5.22
surrogate,0.01,0,62.52,62.75,0.23
surrogate,0.01,1,62.52,62.88,0.37
surrogate,0.01,2,62.52,63.04,0.52
sim,0.01,0,62.52,62.46,-0.06
sim,0.01,1,62.52,62.19,-0.33
sim,0.01,2,62.52,62.07,-0.44
surrogate,0.005,0,62.52,62.65,0.13
surrogate,0.005,1,62.52,62.52,0.00
surrogate,0.005,2,62.52,62.81,0.29
surrogate,0.015,0,62.52,62.86,0.35
surrogate,0.015,1,62.52,63.00,0.48
surrogate,0.015,2,62.52,62.48,-0.04
